S.N,Name:-,Contact:-,Address:-,
71,Oxygen Cafe,096284 78032,"VXW4+X76, Lohiya Nagar Rd, Sector 2, Vikas Nagar, Lucknow, Uttar Pradesh 226022",
72,Underground Lounge,073939 35000,"544C/65, Tondan Marg, Ahiran Khera, Lucknow, Uttar Pradesh 226003",
73,Ttamaasha Bistro Bar,079916 10111,"4th Floor, Wave Mall, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
74,Wings Of Fire,086875 55556,"Top Floor, Shri Hari Tower, 4-A, Mira Bai Marg, opp. Sales Tax Office, Narhi, Hazratganj, Lucknow, Uttar Pradesh 226001",
75,ARMA THE LOUNGE AND BUFFET,096964 64400,"behind Era Boy's Hostel, Sarfarazganj, Lucknow, Uttar Pradesh 226003",
76,MT Lounge,096285 24777,"Highland Square, Ram ram bank chauraha, Aliganj, Lucknow, Uttar Pradesh 226024",
77,Limone Lounge,080810 34883,"B-79, Channilal Cir, Sector-C, Mahanagar 2nd Floor, Hotel Uday Raj Palace, Lucknow, Uttar Pradesh 226006",
78,Why So Serious Cafe And Lounge,079054 74508,"12/651, Jama Masjid Rd, Sector 12, Indira Nagar, Lucknow, Uttar Pradesh 226016",
79,Hooki Dooki,073796 25150,"5/1, Dr Akhilesh Das Gupta Marg, Vipul Khand 5, Vipul Khand 6, Vipul Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
DESI LOUNGE RESTAURANT,,,,
80,095597 09693,"2/10, Vastu Khand Rd, Opp Adhra Bank, Vastu Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",,
81,Hukkablast,082998 80662,"PLOT NO 30, 31,32, KNO 64, near HERO SHOW ROOM, Balaganj, Baraura Hussain Bari, Lucknow, Uttar Pradesh 226003",
82,The Concept Headquarters,076075 40662,"B-332, Mahanagar, Lucknow, Uttar Pradesh 2260066",
83,Bigg Boss,081154 22322,"B-81, Vibhuti Khand Rd, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
84,Go Bananas,089487 27488,"VX9W+XXQ, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
85,Woodpecker,099364 38000,"Level Zero, Hotel Charans Plaza, 11, Habibullah Estate Rd, Hazratganj, Lucknow, Uttar Pradesh 226001",
86,COCO CAFE BY GRS,073886 33926,"Kapoorthala Road, Above HDFC Bank, oppsite nehru baal vatika, Lucknow, Uttar Pradesh 226024",
87,Cafe Zodiaco & family restaurant,078604 45066,"nanak arcade, opp. shivalik International school, near Shani mandir, Hind Nagar, Lucknow, Uttar Pradesh 226012",
88,Hookaurant Lounge & Restaurant,087953 22624,"1st floor, Madhav Tower, Muslim Nagar, Alambagh, Lucknow, Uttar Pradesh 226005",
89,The Late 90s Restaurant & Lounge,0522 434 9955,"No. 11, Habibullah Estate, MG Road, Halwasiya Market, Hazratganj, Lucknow, Uttar Pradesh 226001",
90,BohoBar,097921 07070,"G-21, Ground Floor, Levana Cyber Height, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
S.N,Name:-,Contact:-,Address:-
91,The Pacific Hut - Family Restaurants in Lucknow,083188 49521,"Opp –CMS Upil, Aishbagh Road, near Tava Restaurant, Lucknow, Uttar Pradesh 226004"
92,Alkash cafe & lounge,0522 363 7521,"2nd floor, Bcc plaza, Tikaitganj, Lucknow, Uttar Pradesh 226004"
93,"Farzi Cafe, Lucknow",090766 00211,"Ground Floor, Rohtas Summit, Vibhuti Khand, Lucknow, Uttar Pradesh 226010"
94,OAKSLAND,070544 44448,"Rooftop, Harshita Complex, Murari Nagar, Shakti Nagar, Indira Nagar, Lucknow, Uttar Pradesh 226016"
95,Jannat,0522 405 9999,"V, Vipul Khand 5, Vipul Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
96,Cafe hide 'n' seek,085460 43219,"Second floor, galaxy health city, opposite dastarkhan, Patrakar Puram, Vivek Khand 2, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
97,Aura Cafe & Resto Bar,099560 11455,"3rd, Fun Republic Mall, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
98,The Cassia Restaurant And Cafe( Babel ),089575 40027,"14/157, near New Power House, Sector 14, Indira Nagar, Lucknow, Uttar Pradesh 226016"
99,Free Spirit,081759 56711,"Mandi Parishad Rd, Vijayipur, Vijaipur Village, Vishesh Khand 2, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
100,Lucknow Sports Shop,099368 73251,"Yahiyaganj Iron Market, Yahiya Ganj Iron Market, near Gurudwara, Kundari Rakabganj, Lucknow, Uttar Pradesh 226018"
101,Pet -O-Mania (P.O.M),074998 88881,"Online Store, Indira Nagar, Lucknow, Uttar Pradesh 226016"
102,Dogs & Pups Pet Shop & Clinic,087992 55500,"3/537, Patrakarpuram Crossing Rd, near Nealkanth Sweets, Vivek Khand 3, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
103,Pets Planet,089604 44416,"Shop No, 3, Park Rd, opp. Allahabad Bank, Raj Bhavan Colony, Hazratganj, Lucknow, Uttar Pradesh 226001"
104,Relite Pet Gallery /Pet Salon /Cat studio,086011 18881,"C-31 Alkapuri, Aliganj Main Rd, opposite Corporation Bank, Ekta Vihar, Sector CS, Aliganj, Lucknow, Uttar Pradesh 226021"
105,Dogs & Pups Pet Shop & Clinic,088539 55500,"Neelgiri Complex, A-238 SHOP NO.5,NAKSHATRA APARTMENT OPP.Kanchan sweets near, Indira Nagar, Lucknow, Uttar Pradesh 226016"
106,Billa Aur Pilla - The Complete Pet Mall,095408 78623,"Block A, A 727, Lekh Raj Marg, near Near convention centre, Block A, Indira Nagar, Lucknow, Uttar Pradesh 226016"
107,Arora Pets Lucknow,087070 30571,"Near DAV College Naka-Hindola, Charbagh, Lucknow, Uttar Pradesh 226004"
108,Dog World- Best Pet Shop,070072 67415,"529GHA/25, Bajrang Nagar, near kamakhya school, Kalyanpur, Lucknow, Uttar Pradesh 226022"
109,PetShop,091408 72008,"45, Laxmanpuri Colony, Indira Nagar, Lucknow, Uttar Pradesh 226016"
110,Furry Friends,093691 48312,"House, no 633/27A, near Yamaha Showroom, Gulzar Colony, Hasangarden Colony, Chinhat, Lucknow, Uttar Pradesh 226028"
111,Royal Pets & Aquarium,091298 24082,"Shop No 53-54, Jeevan Plaza, Viram Khand 5, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
112,Dr A B GARG MULTISPECIALITY CLINIC,098382 37523,"Munshi Pulia, Sector 13, Indira Nagar, Lucknow, Uttar Pradesh 226016"
113,Pankhudi Medical Store,094515 04477,"V2M2+XQJ, Sector 9, Indira Nagar, Lucknow, Uttar Pradesh 226016"
114,Jaiswal Medical Store Lucknow,072755 89131,"Takrohi Market, Yadav market, Sector 11, Indira Nagar, Lucknow, Uttar Pradesh 226016"
115,Doorstep Car Wash (Car4Wash),077840 77840,"Viram Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
116,Kake Di Hatti Lucknow,091199 03678,"Unit/ Shop Number.011 Ground Floor Of Urbanac Business Park, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
117,Richi Rich Restaurant,080900 12545,"Near, B 2/18,Sector K, Sector K, Purania Chauraha, Ignou, Aliganj, Lucknow, Uttar Pradesh 226002"
118,TAFRI JUNCTION,063892 72829,"LGF, A 1/15, Purniya Chauraha, opposite Police Chowki, Sector H, Sector-A, Aliganj, Lucknow, Uttar Pradesh 226024"
119,Menara Restaurant,063077 53954,"Unnamed Road, Sector Q Rd, Sector Q, Sector-P, Sector B, Aliganj, Lucknow, Uttar Pradesh 226024"
120,Tamil Nadu Dosa Point,063071 59004,"12, Lucknow, Uttar Pradesh 226024"
121,Sign In Cafe,080907 01654,"B-35, Beli Garad Chauraha Main Rd, Sector H, Sector-A, Sector L, Aliganj, Lucknow, Uttar Pradesh 226024"
122,The Rich Table,,"Aishwarya Plaza, Basement, Chanrapath Rd, Sector H, Sector-A, Aliganj, Lucknow, Uttar Pradesh 226024"
123,Amritsari Haveli,091517 77117,"Plot no.5, 4th floor, near, Purniya Chauraha, opposite Kendriya Bhawan, Sector E, Aliganj, Lucknow, Uttar Pradesh 226024"
124,Darling Dimsum (Aliganj),072755 24419,"C-43, opposite Pashupati Hospital, near Kendriya Bhawan, Sector H, Sector-A, Aliganj, Lucknow, Uttar Pradesh 226024"
125,Loafers point,099188 12728,"near Mishra study points, Sector Q, Sector-A, Sector K, Aliganj, Lucknow, Uttar Pradesh 226024"
126,Dreamy Delicacies Restaurant and Banquet,070809 03261,"1/7, Kursi Rd, Sector 1, Vikas Nagar, Lucknow, Uttar Pradesh 226022"
127,Lucknow Local,083686 13745,"7/5 Church road Vishnupuri, Aliganj, Lucknow, Uttar Pradesh 226022"
128,Friendli’z,094542 01111,"4, Mandir Park Rd, near Tilak Vidhalaya, Mahanagar Extension, Dandiya Bazar, Aliganj, Lucknow, Uttar Pradesh 226006"
129,Dream Art Cafe - Aliganj,070801 51118,"B22, Sector-A, Sector K, Aliganj, Lucknow, Uttar Pradesh 226024"
130,Shyam Swaad Mithai Shop,099841 02323,"B40, Aliganj Main Road, near Kendriya Vidyalaya, Sector-P, Aliganj, Lucknow, Uttar Pradesh 226024"
131,Faasos Aliganj,077000 20020,"Plot No 14/A, Sector KS, Ward Mahakavi Jai Shankar Prasad, Sitapur Road, Aliganj Scheme, Uttar Pradesh 226020"
132,Maharaja Chaap,091887 41112,"1, Sector N, Aliganj, Lucknow, Uttar Pradesh 226024"
133,New south indian dosa restaurant,093056 55966,"VWVV+V36, B-69, Sector H, Sector-A, Aliganj, Lucknow, Uttar Pradesh 226024"
134,Cafe Godown,0522 495 3018,"B-64, Kapoorthala Road, Chandralok, Lucknow, Uttar Pradesh 226024"
135,Momomia Kapoorthala Aliganj Lucknow,083031 84291,"Chota Shekhpura, kapoorthala, Kapoorthala Road, next to Burma biscuit company, Aliganj, Lucknow, Uttar Pradesh 226024"
136,Sher-E-Punjab Dhaba,088743 28191,"VWJW+QJ7, Kapoorthla, Bara Chandganj, Sector A, Chandralok, Lucknow, Uttar Pradesh 226024"
137,bhojnic restaurant,093697 10570,"B-1/1, L Rd, Kapoorthla, Bara Chandganj, Mahanagar, Lucknow, Uttar Pradesh 226024"
138,Boons Restaurant,0522 355 4965,"120-A, Ravindra Garden Rd, Sector E, Aliganj, Lucknow, Uttar Pradesh 226024"
139,The Black Buck Cafe,0522 430 0055,"A-1/14, Sector H, Sector-A, Aliganj, Lucknow, Uttar Pradesh 226024"
140,Maharaja Chaap,088741 11213,"C, Mahanagar, 44, near Fatima Hospital, Mahanagar, Lucknow, Uttar Pradesh 226006"
141,Chandra Institue Lucknow,094587 27424,"1st Floor Sate Bank Ke Upar, Kapoorthla, Chauraha, Lucknow, Uttar Pradesh 226020"
142,Bhoomi IAS,070817 16666,"2/15, Vineet Khand, Khatri Bhawan, near Jaipuria School, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
143,Excellent Classes,098387 58289,"Singh Tower, IInd Floor, near Rani Laxmi Bai School (RLB, Sector 3, Vikas Nagar, Lucknow, Uttar Pradesh 226022"
144,CAREER CAPITAL,078003 77077,"B 1 / 160, Opp IHM (Institute of Hotel Management, Sector G, Aliganj, Lucknow, Uttar Pradesh 226024"
145,IMS Lucknow,097924 18583,"Kapoorthala Road 2nd Floor, Ramanand Trade Centre, above Spencers, Aliganj, Lucknow, Uttar Pradesh 226020"
146,Narayan Academy,094526 81664,"2nd floor, FI Plaza, near, Sai Mandir Fly Over, near Sai Mandir, Kapoorthla, Bara Chandganj, Sector A, Chandralok, Lucknow, Uttar Pradesh 226024"
147,Aim The Vision,073478 34373,"F-1/34, in front of Good Bakery, Karamat Market, Railway Colony, Nishat Ganj, Lucknow, Uttar Pradesh 226006"
148,DELTA-4 INSTITUTION,085739 84444,"16/1457, BACKSIDE OF, Sukh Complex, Indira Nagar Rd, near MUNSHI PULIYA, Sector 16, Indira Nagar, Lucknow, Uttar Pradesh 226016"
149,SHARDA IAS,094536 27059,"Raj Palace, A1/15, Purania Chauraha, Sector H, Sector-A, Aliganj, Lucknow, Uttar Pradesh 226024"
150,S.B. INSTITUTE,"B1/292, Sector G Jankipuram, near Lps school, above ICICI Bank, Sector G, Jankipuram, Lucknow, Uttar Pradesh 226021","B1/292, Sector G Jankipuram, near Lps school, above ICICI Bank, Sector G, Jankipuram, Lucknow, Uttar Pradesh 226021"
151,Koshika Academy,078003 69292,"AANCHALIK VIGYAN KENDRA, Koshika ACADEMY, above Bhoomi IAS, behind LOK SEVA AYOG, Sector D, Aliganj, Lucknow, Uttar Pradesh"
152,1729 Classes CAT|XAT|GMAT,079852 23583,"B-102, Bhoothnath Market, Sector 5, Indira Nagar, Lucknow, Uttar Pradesh 226016"
153,Maa Academy Lucknow,073100 10046,"Near, Purniya Chauraha, behind UPPSC HALL, Sector D, Aliganj, Lucknow, Uttar Pradesh 226024"
154,GuruMantra Coaching,098382 09100,"C-8, Sector, Kapoorthla, Aliganj, Lucknow, Uttar Pradesh 226024"
155,iNsight Classes,079054 31059,"B1-65, sector -P, near shyam swad restaurant, Beligarad, Aliganj, Lucknow, Uttar Pradesh 226026"
156,Pathshala institute,063937 16045,"Lekhraj khajana 3rd floor Lekhraj metro station, Faizabad Rd, Indira Nagar, Lucknow, Uttar Pradesh 226016"
157,Raghuvanshi Institute,091403 03022,"3rd Floor Raghuvanshi Campus, Kaysons Lane, Near Canara Bank Main Branch, Nawal Kishore Road, Hazratganj, Lucknow, Lucknow, Uttar"
158,Sharma Classes,098898 92193,"56 C, Manak Nagar Station Road, Sheth Ghannumal Rd, Singar Nagar, Alambagh, Lucknow, Uttar Pradesh 226017"
159,Mourya Technichal Classess,088878 39689,"ͧशखर IAS वालģ Òबिãडंग मŅ, नहर चौराहे से 20 कदम VIP रोड, मेĚो èटेशन , नहÐरया , Singar Nagar, Alambagh, Lucknow, Uttar Pradesh 226005"
160,Elision Coaching Institute,063882 78774,"544, 1017, Campbell Rd, near BSD Academy, Ekta Nagar, Baraura Hussain Bari, Lucknow, Uttar Pradesh 226003"
161,Nirmaan Institute,092369 19025,"Parasar Coaching Campus, Ambedkar Chauraha, Muslim Nagar, Alambagh, Lucknow, Uttar Pradesh 226005"
162,Zenith Classes /job launcher,099367 10138,"M-46, Indralok Market Krishna Nagar Near New Public School, Uttar Pradesh 226023"
163,Sankalp Coaching Centre,099186 07590,"Indian Bank, H. No. 08, Block-D, Sharda Enclave, Sainik Nagar, Land Mark, Lucknow, Uttar Pradesh 226002"
164,FundaMakers,095983 33344,"KBC 13 Vishwakarma Tower , Behind Fish Gallery Near Phoenix Mall, Barabirwa, Alambagh, Lucknow, Uttar Pradesh 226012"
165,Grandeurs Bakery & Cafe,096287 70134,"C-2/16, Vikaskhand 2, Vikas Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226003"
166,Furry Tales Cafe,079054 71908,"5/136, Vipul Khand 5, Vipul Khand 6, Vipul Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
167,Pack 'N' Chew,088742 06273,"2/30, Vijay Khand Rd, near Mithaiwala Crossing, Vijay Khand, Ujariyaon, Vijay Khand 2, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
168,Be The Beer,091406 77938,"A110, 1st Floor, Cyber Heights, VibhutiKhand, Gomti Nagar Rd, above Nexa Showroom, Vibhav Khand, Lucknow, Uttar Pradesh 226010"
